"city","country","area","pop","qscore","public_spaces","easy_good_job","easy_housing_reasonableprice","schools_facilities","health_care_services","cultural_facilities","sport_facilities","satisfied_public_admin","public_admin_straightforward_easy_understand","public_admin_fees_reasonable","public_admin_easily_accessed_online","public_admin_corruption","confidence_police","public_transport","public_transp_affordable","public_transp_safe","public_transp_easy_get","public_transp_frequent","public_transp_reliable","green_spaces","air_quality","noise_level","cleanliness","safe_alone_night","safe_alone_night_neighbourhood","money_property_stolen","assaulted_mugged","people_can_be_trusted","people_can_be_trusted_neighbourhood","inclusiv_ingeneral","inclusiv_minorities","inclusiv_lgbtq","inclusiv_immig","inclusiv_young_families","inclusiv_elderly","H","F","from15to24","from25to34","from35to44","from45to54","from55to64","from65to74","over75","very_bad_health","bad_health","fair_health","good_health","very_good_health","oneperson_household","lone_parent_child_less25","lone_parent_children_more25","couple_nochild","couple_child_less25","couple_children_more25","other_type","mean_people_house","no_secondary","lower_secondary","upper_secondary","shortcycle","bachelor","master","doctoral","job_situation","financial_situation_household","difficulties_bills_most_time","difficulties_bills_timetotime","no_difficulties_pay","employee_self_empl_family_business","unemployed_notlooking_job","unemployed_looking_job","retired","unable_work","student","fulltime_homemaker","other_jobs","manager","professional","technician_associate_pro","clerical","services_sales","agricultural","craft_related_trade","plate_machine_operator_assembler","elementary_occupation","armed_forces","full_time","part_time","car","motorcycle","bicycle","foot","train","urban_public_transport","others","do_not_commute","life_you_lead","satisfied_city"
"Aalborg","DK","Pays nordiques",171059,0.669201090229979,0.417225119296686,0.146006830248096,0.233078500170747,0.492057599915987,0.393015522468985,0.629238252775425,0.451571754953615,0.247195949747664,0.20786880800082,0.188066677020754,0.553954284346137,0.61566919930456,0.76101806197356,0.336356675174386,0.252626100842263,0.617090999719012,0.668920472501315,0.34893642174364,0.315047389929248,0.499260185622404,0.488133899411061,0.37384591520776,0.29724698547502,0.694026276330733,0.770684924212034,0.912700448324064,0.955626177469312,0.387228284548528,0.664271951422512,0.99367734071246,0.713465825021887,0.765228309506866,0.84628015056313,0.922059417918946,0.979393156935339,0.497999983957155,0.502000016042846,0.193000003905977,0.164999995245252,0.150000000136239,0.156000009266308,0.13600000202179,0.106234977058125,0.0937650123663084,0.00255536903267967,0.0419817608569138,0.0910668994067037,0.271159662431365,0.484273815283581,0.153588567227593,0.0544313015916173,0.0261193366981016,0.27065153760718,0.353962989962063,0.0756529783127405,0.0629880079161398,2.67625774809967,0.00556646427645168,0.0558954398661033,0.370618206724154,0.257412108292617,0.199972897666063,0.102259239314549,0.00827564386006238,0.416113286108045,0.524710913183668,0.0182451780564839,0.0465109582913729,0.915375725637498,0.598526077997812,0.0115846727480098,0.0378110025073923,0.212217751794806,0.00635207988451211,0.102658208876406,0.0271712149374454,0.00367899125361586,0.0965982729093345,0.156480672326777,0.139564806794969,0.248042591587998,0.149070239460193,0.0409043926764622,0.0915923145270238,0.0213778856292785,0.0405523628830674,0.00455050256965545,0.864038496823922,0.132565699329617,0.504804244002171,0.0537790867973402,0.152979190376316,0.128856442794611,0.0220548177517088,0.117510026499121,0.0106492810570912,0.00936691072164063,0.611911661987346,0.792559167054238
"Amsterdam","NL","Europe de l’Ouest",684031,0.511072349694274,0.280034241260594,0.125666136407657,0.0283895540224094,0.310533533432834,0.491449916967925,0.569422127823406,0.323420270088499,0.229752184211151,0.231739744335113,0.201540419433,0.473062424609709,0.311333289733558,0.755309745701126,0.368286645995859,0.243640239383625,0.658590856385235,0.640607847445083,0.519816932175244,0.490496553878677,0.419846880281897,0.142652363681085,0.190514586863642,0.140329093680776,0.344475617795521,0.424741352527769,0.786342783499587,0.96673492349572,0.140737611481771,0.306100188005557,0.914149138339537,0.838955003145269,0.873079368302768,0.810366472130501,0.621294949130336,0.659550118290692,0.489000000551854,0.510999999448146,0.152999998938782,0.232000006056513,0.183999989878791,0.164999995255896,0.127000003540771,0.0917389654676006,0.0472610408616463,0.00190700044500853,0.0227080822321114,0.117219160682596,0.40052766753627,0.401994749261513,0.181017124495147,0.0531949080929723,0.0195874863530302,0.248290376694831,0.335962865790864,0.0686678221502121,0.0920655417836859,2.66283115556742,0.00773986283800174,0.0970563504618406,0.345084928486941,0.153309850447093,0.2366711332284,0.137459172030892,0.0193023252171733,0.308082538002401,0.313106430919634,0.0738561933173631,0.207711473980332,0.698795608485214,0.703227977843865,0.0164421296828652,0.0379495553719641,0.124401502453216,0.00996537713429402,0.0792050162704028,0.0205062146309494,0.00830222661244375,0.128995186304827,0.16069684623783,0.120261665501026,0.213402689861117,0.159883932090113,0.0138497729480868,0.109897763410016,0.0281751027509908,0.037969125186355,0.0056919084642467,0.818006318842791,0.175173047866366,0.307689060837377,0.0546504555531755,0.342190047988253,0.138557538829737,0.0132678191200312,0.132831791432325,0.00408901740054401,0.00581882737252229,0.526666303413825,0.687967017220969
"Antwerpen","BE","Europe de l’Ouest",418249,0.624589366757487,0.29250580813389,0.142490349707747,0.0779991816968663,0.395241595709774,0.585027839800424,0.471952009111635,0.349940748892281,0.186882192323335,0.391668787839135,0.271016745453642,0.222211930893824,0.305175110992658,0.750382086439048,0.233765519793275,0.297345764928756,0.293075617036794,0.327420001602798,0.233257768095331,0.16650881388523,0.410580754407693,0.136974128242236,0.233616204710109,0.199318611492754,0.243235997734919,0.520493976301742,0.777403900229873,0.91230654050506,0.125769837969568,0.442552366730661,0.898877758846797,0.668097818393705,0.665016828281788,0.736802478464441,0.685220689494087,0.70618895225344,0.494000018259287,0.505999981740713,0.139139133596922,0.198198205881597,0.170170178674721,0.153153145156772,0.132132127263525,0.114404714867747,0.092802494558717,0.00457741332369005,0.0195574323274779,0.170271478811043,0.45478216980711,0.287318947286246,0.146648240511951,0.0242003493669507,0.0183231406336387,0.293792826862291,0.367872152222201,0.0812522560363133,0.0679110343666539,2.6841485376741,0.00223352557635957,0.0770366425620226,0.360592684886038,0.132861847422633,0.266517287255898,0.1298521313521,0.0309058809449483,0.331121633416588,0.353554462493556,0.0616230472854516,0.164723229641492,0.76076728986209,0.617800946491998,0.0103214756702064,0.0296040205750044,0.203922503413263,0.0011510980008683,0.0993094431319355,0.0333722932760382,0.00451821944068662,0.0577082226707778,0.167465455401374,0.143035701772449,0.297264839758895,0.174483345703773,0.0130115219987655,0.0679968088197088,0.0277148297664083,0.0334876865905031,0.0127277971051506,0.807010641938907,0.189300559831014,0.472041340550262,0.0652159820265799,0.172622170173055,0.126014724501558,0.026579729210538,0.121038833695839,0.0105254698400299,0.00596175000213766,0.468508979880247,0.591282608447095
"Athina","EL","Balkans",2292945,0.139811739079952,0.0762288375854959,0.0327880210717251,0.174322434338722,0.12236074640064,0.0751629026967418,0.172908097446204,0.0716500020801808,0.124367027830124,0.0995384248273061,0.0978226261211358,0.223923474632545,0.064907927043338,0.323517605619857,0.243716426090181,0.212052475893118,0.268813131805052,0.349838586472079,0.208413357333189,0.293060921182788,0.066849527300919,0.0452600881161769,0.0840686414798809,0.0525753089812056,0.0845272150052604,0.145618134023671,0.57517799540161,0.70735388294926,0.0602367497239689,0.130254066154651,0.744294065555079,0.631997729393431,0.709535016050469,0.569210891520728,0.540246033249505,0.449707267009776,0.469999978291137,0.530000021708863,0.120999991018006,0.17999999920811,0.187000007553186,0.166000014193569,0.140000002052103,0.126371248216156,0.0796287377588713,0.00936404136283538,0.0455983975209625,0.131983433772956,0.350706796321692,0.41755943251571,0.140830494167925,0.0347424495260112,0.0142395258622204,0.256171479159204,0.3611093181632,0.107714947363669,0.0840380355168042,2.77713288017202,0.0210707816233791,0.0987247952059671,0.442002431446296,0.161455043066938,0.177253397782655,0.0828337125232505,0.0166598383515148,0.081719636410801,0.0611374535563432,0.314099247396125,0.360484517672983,0.299025032740224,0.527031631316654,0.0203774925868778,0.0719305603747625,0.215618697121519,0.00894143481254391,0.0965849929017915,0.0541900569535873,0.004120511297648,0.048990186610322,0.174376202093561,0.134677650731972,0.25630508010735,0.200538864830908,0.0253369721095023,0.0556384915954709,0.0388755717825495,0.0524508092283333,0.00173424224899114,0.798527933845611,0.201472066154389,0.37565087097625,0.0750636675204199,0.105199127883407,0.204035031510849,0.0361699581934344,0.173488959606497,0.0114993059654371,0.0188930783437055,0.0932821684284735,0.14980781659623
"Barcelona","ES","Sud de l’Europe",3112854,0.402529617525561,0.232957579287436,0.0450000218348845,0.0868675090322193,0.154178662668437,0.236878713096163,0.229686833824693,0.173771223628831,0.280117550077298,0.407981869240405,0.227813246020412,0.423192124609639,0.214267892119754,0.726467782704256,0.239971227727485,0.432395615948044,0.583543358318409,0.593449831353451,0.362858434710703,0.557498417250166,0.186760947115514,0.089422128015654,0.119958256268309,0.117623459300967,0.289205552051502,0.45349509967129,0.789366991232618,0.911804627115169,0.180408916366278,0.358573028390999,0.934886483931871,0.788140541107279,0.877399323785268,0.847308833152454,0.893445967967688,0.899815579788177,0.476999983256033,0.523000016743967,0.109890102227591,0.150849157158465,0.19980020087014,0.173826176471933,0.137862135465192,0.178106255583911,0.0496659722227678,0.0111904560331178,0.0256972653003805,0.118143362350101,0.256363415875062,0.502818237641214,0.11708321923209,0.0466807691983463,0.0311476595641863,0.290651301545345,0.33257454616334,0.105824478584913,0.0705819036118833,2.75197010411589,0.0649714976130606,0.0662413675935808,0.346038777886637,0.231441465914066,0.178772250725006,0.0783528642340264,0.0233828219569302,0.162523580600217,0.119542186043542,0.110345451232251,0.192137873715626,0.680333900684802,0.591222427310774,0.0165425704115884,0.0505117530250238,0.236450087919261,0.00108244479200261,0.0630543021989663,0.0254388004859597,0.0113114890550563,0.0857993744709346,0.174024961890044,0.147562313801734,0.217934763927611,0.157595521960436,0.0236412265718112,0.0397474724876629,0.0377907780973207,0.0897512912154603,0.0108724301481184,0.833651769146748,0.162695812775898,0.395246185604444,0.0839527621042259,0.111420346244463,0.18025386186444,0.0440418853400658,0.179402373661972,0.00357205145639103,0.00211053372399882,0.26911329299485,0.509210112307527
"Belfast","UK","Europe de l’Ouest",390508,0.622085143275153,0.320930532254257,0.112962793983162,0.245657103909151,0.508617893209275,0.351327491084785,0.449287117601308,0.315222292177848,0.169330169416802,0.281685024712112,0.264494657884864,0.425435336794585,0.215678766044167,0.728948467701461,0.379241225615944,0.487936191173959,0.491214570990038,0.553915471246698,0.407719389487389,0.49664417816717,0.497448963325242,0.360601197262811,0.369946640867274,0.219139162609537,0.393277638090762,0.595066860827244,0.868923459690329,0.972382321487169,0.302411726551727,0.524021963223965,0.960284285715292,0.769351031945282,0.659433544626289,0.735125882593722,0.856828867278817,0.879226651002897,0.479999975006921,0.520000024993079,0.174698790823736,0.18072290256799,0.156626496292433,0.166666659457343,0.133534136399652,0.109223078469047,0.0785279359897988,0.00840144345237373,0.0386878383904412,0.180565882985192,0.309660089613469,0.350124861948467,0.198397802710373,0.045621739434203,0.0284016959648995,0.27842560002477,0.294732042136894,0.0745878089664718,0.0754507465453484,2.51901504622152,0.00589216545159586,0.142448611765974,0.230295570749661,0.29530043705939,0.152161960786786,0.132827138537698,0.0260215742484772,0.313290337960599,0.365147358861018,0.0755490226847084,0.197728438370039,0.663155018223825,0.634663242609805,0.0167879259684493,0.0244828811785871,0.203984375911273,0.00597016076975552,0.064274317034531,0.0221620558664134,0.0152220323186241,0.0892534474879647,0.196210894780405,0.116362029177629,0.235491950548488,0.210953277215178,0.0102017763603206,0.058364291745325,0.0273260882551441,0.0334155171430189,0.00898566142449068,0.80194660978926,0.189797171626323,0.502936410254239,0.0695274424348948,0.0911530154505185,0.139541290196538,0.0238271346264412,0.157710238428754,0.00611143450822496,0.00757612304641447,0.523109534971356,0.690739949518717
"Beograd","RS","Balkans",1426710,0.249837026935446,0.131031242313619,0.0593057893190137,0.104458479982814,0.139383949234297,0.107834981380997,0.215714512125328,0.187220110763428,0.0915698221801132,0.128720626773784,0.111966852788677,0.224363110810003,0.0457803802003753,0.478269056855583,0.0994890987664496,0.295453740443496,0.218955311627734,0.227688957626192,0.26279698407021,0.198643037206836,0.111303568550068,0.107181549875394,0.1225166438121,0.0619593404405817,0.220406837156483,0.437726726576256,0.744878517436071,0.86005827466804,0.0382340532851727,0.160125470680087,0.742774876983182,0.757650755530874,0.485905903301896,0.459985382342229,0.607282904424062,0.617238584443245,0.467000018621854,0.532999981378146,0.127999990604946,0.181000004149165,0.164000004737037,0.156000002854892,0.181000004149165,0.0783023529300185,0.111697640574778,0.0195780386007571,0.051005364442593,0.181434201339842,0.36646248904711,0.305459664794415,0.14966790013405,0.0245984253853271,0.032753758335312,0.236402797937687,0.313085387651538,0.105326368576179,0.135022615099123,2.90224912076319,0.00338298425484577,0.0371650012280703,0.429686294011763,0.214608360944947,0.220877291937999,0.0775948002362543,0.0144086182345627,0.177404625382731,0.12173149038318,0.133683878589032,0.279359603233307,0.585062968346523,0.60265292253098,0.0417550297868629,0.0473648020342506,0.216191182564397,0.0101397294565862,0.029650425451929,0.0382173914877969,0.010839178473085,0.079484477811185,0.163171862369514,0.101119509913176,0.238859146300323,0.185640133289924,0.0239744196140528,0.0726186299045315,0.029616826772264,0.0560719197686695,0.0293708160813812,0.862413509740497,0.13601493692753,0.491483645630782,0.04215315118087,0.0771073329266008,0.159385477902712,0.0136166806900729,0.199617440408156,0.00305623899774458,0.0135800322630612,0.205766946171649,0.249962819048058
"Berlin","DE","Europe de l’Ouest",3082382,0.541225341439106,0.189530486256392,0.100927919793849,0.0301061894192346,0.144120671246724,0.362385083409625,0.551387339596478,0.118134617037724,0.0865827946199847,0.0585172303242695,0.0709627286525511,0.16952202245476,0.0682125848259902,0.837954415126319,0.4640026252801,0.279617592138308,0.283225455996848,0.496099956472652,0.291841045454349,0.193503176605777,0.37150697856024,0.137709097037817,0.158748912266539,0.086389234071354,0.180620601080051,0.375482640882355,0.74963691111227,0.939208010440803,0.086547617150833,0.281360143119416,0.924880931424588,0.734196716890787,0.836138029062008,0.739926080094279,0.763014770410529,0.743927002609328,0.486999978035007,0.513000021964993,0.110999994637796,0.198000007975783,0.157000000958954,0.171999997254099,0.138999997571026,0.119706342384644,0.1032936592177,0.00700721023438274,0.0231024588188543,0.185635470551116,0.421201298379826,0.295037716369009,0.185659565813846,0.0243455759263252,0.0155919179294684,0.309528089717119,0.301530875797608,0.1046856835434,0.0573149880384795,2.56856535176454,0.0102624233834299,0.130966280319618,0.303834151086606,0.270199347888847,0.152879067131631,0.111869449887654,0.019989280302215,0.27084516549036,0.268209170433529,0.0378144587545998,0.152840676716687,0.788735419697676,0.624061066063977,0.00844312137475473,0.0251043995913821,0.237930783536635,0.00647519910163907,0.0695215979334513,0.0218267364380948,0.00438935057186758,0.0712969807658068,0.155135930097867,0.145486519336567,0.25089479044304,0.177650723716583,0.0350483977482023,0.0692866799497164,0.0264610893949008,0.0431765126722555,0.00792357024536962,0.819281231222464,0.178566249886675,0.380160413050187,0.0670295719351934,0.161186561202974,0.115633816128837,0.0212723271571518,0.23612849584406,0.00647311643020715,0.0121156982513893,0.431357901891115,0.558349718027124
"Bianystok","PL","Europe orientale",253869,0.499261428586011,0.291819784410666,0.0456012011464665,0.130771506780452,0.263279254118313,0.0870398080423083,0.373567226816379,0.245626329970839,0.190815904752767,0.142994741043278,0.0782432575803351,0.206832079308955,0.0785756495236138,0.786787761091061,0.272488473336398,0.301480894625313,0.390418618610111,0.45619164198264,0.3579669010944,0.27086046297813,0.558412354295459,0.379270082063272,0.248264325111957,0.338275274663165,0.360166671647358,0.408141454322691,0.0583017998983436,0.0323299870348258,0.0962870629426656,0.173480821266641,0.940886445721634,0.568405215448005,0.303406462354609,0.471957563712934,0.886665054805506,0.95240115531448,0.462000017375776,0.537999982624224,0.127127132426596,0.207207205994402,0.177177175468818,0.149149144730325,0.164164162632752,0.120696939069944,0.0544782396771634,0.00364029203173435,0.0333617811572008,0.177962047302549,0.387908824289519,0.316836855268209,0.140354048281087,0.0272732983339917,0.0152505496583028,0.269959087479963,0.361709683483133,0.106730492379557,0.0778141805170105,2.72500648657977,0.0149937933696163,0.0892769068555557,0.48745285421503,0.119416033891219,0.141178975798503,0.1335516624905,0.0141297733795753,0.190790483967814,0.15350801409598,0.0271650901034189,0.139855284873065,0.822947324414164,0.678249588070448,0.00448126052145287,0.019752818262556,0.174427980540005,0.0030974719356722,0.0644460964257756,0.0502841299815079,0.00526065426258195,0.0600489962742478,0.127450829160154,0.109327079856399,0.333326282219727,0.138370849793669,0.0308110826187047,0.0758932668834541,0.0522999669665364,0.0507979573774017,0.0160441364863715,0.867607666857797,0.132392333142203,0.533935933414011,0.0561595494454383,0.109844860954782,0.123563056343246,0.0143223491749016,0.142211795291067,0.00793357270172099,0.0120288826748328,0.313181399048497,0.614668553013007
"Bologna","IT","Sud de l’Europe",342478,0.305114147459924,0.211825317435523,0.0518226410847661,0.0347702218951861,0.225451929148115,0.321391248325531,0.367367951366233,0.225004137584184,0.0822923586091896,0.0799186763244221,0.0677932427725783,0.236071278565999,0.111241140565611,0.859850297756028,0.216794351000047,0.200982267611186,0.256802919576538,0.299545890513957,0.34825217645426,0.237565304765347,0.359388618820619,0.0450447786199513,0.0931209624813723,0.0821591413752604,0.124875802481608,0.20056768996955,0.837509811648401,0.934792988485537,0.108194103580142,0.150609417223345,0.964641161370017,0.831241169039602,0.913408391016637,0.808417781762577,0.862863604898421,0.806727445960666,0.464999990531376,0.535000009468624,0.0879999911410467,0.137000000684602,0.171000007605553,0.176000000504085,0.139999999046326,0.138743622187992,0.149256378830396,0.00352314841941236,0.0424262972466567,0.211444654666812,0.422978119318602,0.264752389598769,0.168258983423972,0.0437412647902073,0.0327395792457674,0.273285419157084,0.296535333615051,0.112455365274178,0.0729840544937412,2.62064782640574,0.0106722036668798,0.074684147746401,0.3563715845146,0.274602872640094,0.220234983514734,0.052916126195868,0.0105180817214225,0.162869595931628,0.130003666503126,0.0780702358797983,0.267504187575451,0.631710639664554,0.573342532157992,0.00932001251138973,0.0321029080537684,0.282896757972888,0.00228587272118711,0.0475975408478894,0.0484921211701678,0.0012549088810673,0.0343228222343842,0.188169328179559,0.103158070988515,0.407698667880983,0.115115168496976,0.0144577035685333,0.0424284022104849,0.030602534348468,0.041979710691669,0.0134287619030486,0.804920775958347,0.193216903412471,0.473919195266307,0.0615508559249216,0.1109119278456,0.173570340942352,0.0105399917078699,0.156203615813973,0.00856496266193011,0.00473910983704611,0.249540482925079,0.467194998950907
